title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Untitled (9.4.86),GERHARD RICHTER (b. 1932),oil on paper,$782.5K,$980K,1.3x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-(9.4.86)-1986-w:35f3537f3305115,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN10150lot77.jpg
Grat 2,GERHARD RICHTER (b. 1932),oil on canvas,$626.2K,$754.3K,1.2x,4 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/grat-2-1989-w:83ee77978a1cd44,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL10021lot234.jpg
Untitled,GERHARD RICHTER (b. 1932),oil on canvas,$28.1K,$33.1K,1.2x,8 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-1967-w:0ab4f5d302e9ed0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/KL6536lot957.jpg
Betty,GERHARD RICHTER (b. 1932),colour offset lithograph,$458.5K,$539.8K,1.2x,4 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/betty-1991-w:3e2a794376c9fb7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL1536lot26.jpg
Haggadah (p2),GERHARD RICHTER (b. 1932),diasec mounted chromogenic print on aluminium,$35.3K,$39K,1.1x,less than a year,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/haggadah-(p2)-2014-w:018524506cf6268,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL12724lot230A.jpg
24.2.85,GERHARD RICHTER (b. 1932),"""oil, watercolor and graphite on paper""",$185K,$200K,1.1x,3 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/24.2.85-1985-w:8f165781f116f9c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN13892lot236.jpg
"""a b, tower""",GERHARD RICHTER (b. 1932),oil on canvas,$3.8M,$4.1M,1.1x,2 years,"https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/%22a-b,-tower%22-1987-w:b4a64a42a7c71ef",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16935lot62.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$1.6M,$1.7M,1.1x,4 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1994-w:78d33834d24c858,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL16020lot4.jpg
Fuji,GERHARD RICHTER (b. 1932),oil on alucobond,$222.2K,$234.9K,1.1x,3 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/fuji-1996-w:e869aeb46d46117,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/VL7956lot71.jpg
Green-blue-red 綠藍紅,GERHARD RICHTER (b. 1932),oil on canvas,$481.7K,$500K,1x,3 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/green-blue-red--1993-w:b075036781591cb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0930lot296.jpg
